created_at,full_text,retweet_count,favorite_count,screen_name
Mon Apr 12 14:50:58 +0000 2021,"@GM @mtbarra As @mtbarra said, laying the foundation internally is essential for pivoting an organization – just as @GM is doing in its commitment to make electric vehicles an option for everyone. I'm so grateful Mary took the time to share her insights about this leadership inflection point.",1,8,GinniRometty
Fri Apr 09 12:57:51 +0000 2021,"@Benioff @mtbarra Thanks for sharing, Marc. I’m so happy you enjoyed this series as much as @mtbarra and I enjoyed filming it.",0,3,GinniRometty
Wed Apr 07 20:16:16 +0000 2021,"Thank you, @mtbarra for helping me launch my 3-in-3 video series - 3 topics in 3 minutes each. We covered leadership lessons, how Mary is pivoting @GM, and the importance of balance. Watch the full series here, and tell me who you’d like to hear from next: https://t.co/xShnLkBwz0 https://t.co/jzxGzBuNb4",12,53,GinniRometty
Wed Apr 07 13:34:10 +0000 2021,"@DrTarikaBarrett @GirlsWhoCode @reshmasaujani Congratulations on taking the next step in your leadership at @GirlsWhoCode, Tarika. The work you have done and will continue to do matters deeply.",1,17,GinniRometty
Tue Apr 06 20:51:17 +0000 2021,"In my final 3-minute conversation with @mtbarra, we talked about how our family has influenced our careers and the advice we received along the way. Watch our third conversation: https://t.co/iRyW73eCCT https://t.co/2aDBihxDyF",4,36,GinniRometty
Mon Apr 05 17:54:47 +0000 2021,"My friend @mtbarra helped launch my 3-in-3 series – 3 conversations, each three minutes long where we cover lessons in leadership and business. In our second conversation Mary and I talked all about @GM. Watch here: https://t.co/2Y384yMon3 https://t.co/sUTQhytqKb",7,86,GinniRometty
Fri Apr 02 14:42:23 +0000 2021,"By training our workers for the jobs of the future, we can build a stronger and more resilient New York. This initiative will make our workforce more inclusive. https://t.co/Q9F4Glasaz",3,23,GinniRometty
Fri Apr 02 13:14:30 +0000 2021,Today I am sharing my third conversation with @mtbarra — all about how her family has influenced her career at @GM and the advice - good and bad - she received along the way. Watch our third 3-in-3 conversation here: https://t.co/iRyW73eCCT https://t.co/tu9HPT0ktJ,8,43,GinniRometty
Fri Mar 26 14:36:14 +0000 2021,"@WomenInTechShow I’ll start - Dr. Shirley Jackson began her career as one of just two Black women @MIT undergrads, then served at @The_ONR, and now is the President of @rpi. Shirley reminds me - you are a role model in everything you do - whether that is your goal or not.",0,3,GinniRometty
Fri Mar 26 13:47:30 +0000 2021,Educating students through experiences - not just simulations - lets us shift to a skills-first paradigm. @PTECHNETWORK is an example of how skills-based learning can empower underserved students and create a pipeline for talent that employers need. https://t.co/fmuEfS0lEZ,2,31,GinniRometty
Wed Mar 24 21:02:19 +0000 2021,"3-in-3 is back, and in just 3 minutes, @mtbarra and I are talking all about @GM, including what it means to earn customer trust, and how she plans to bring electric vehicles to the mass market. Watch our conversation here: https://t.co/2Y384yMon3 https://t.co/fAuxOp8ifN",7,24,GinniRometty
Tue Mar 23 22:06:39 +0000 2021,"3-in-3. I'll cover 3 topics, spending 3 minutes on each one. In my first 3-in-3 with @mtbarra, we discussed our careers and the leadership lessons we’d pass on to others. What resonated with you?

Watch the full video here: https://t.co/0k00Hlbgge https://t.co/jPfxAZOltq",0,30,GinniRometty
