created_at,full_text,retweet_count,favorite_count,screen_name
Sat Jan 08 06:56:22 +0000 2022,"RT @kaikahele: Get vaccinated. 

Get boosted. 

Wear a N-95 😷 if able. 

Time to modify safe travels: add a booster requirement &amp; Rapid pre…",37,0,Benioff
Sat Jan 08 06:02:13 +0000 2022,"RT @mollyesque: For months, the White House didn't respond to a letter he sent, though @presssec acknowledged it was received. A few days a…",241,0,Benioff
Sat Jan 08 06:01:54 +0000 2022,"RT @TIME: This image from Jan. 6 is one of our Top 10 Photos of 2021.

“I wanted to show not only the bravery of Officer Eugene Goodman but…",253,0,Benioff
Sat Jan 08 06:00:40 +0000 2022,"RT @TIME: Sidney Poitier, who has died at 94, helped reshape that world to such a degree that we’ll never be able to reckon fully with his…",429,0,Benioff
Sat Jan 08 05:50:53 +0000 2022,RT @TIME: .@massimobottura wants you to stop wasting your food https://t.co/J8jfGBnYuN,22,0,Benioff
Fri Jan 07 22:11:24 +0000 2022,RT @Em0n33y: Honestly if it wasn’t for @JNSilva_ to give me such an amazing opportunity with @timepieces I would have never been able to do…,3,0,Benioff
Fri Jan 07 22:11:09 +0000 2022,"RT @Em0n33y: As a kid I dreamt of being able to take care of my mom when I grew up, and now I can🥺❤️ https://t.co/zz6PZBv6TQ",139,0,Benioff
Fri Jan 07 02:10:58 +0000 2022,RT @Benioff: Until we realize we are not separate from the other we will continue to bifurcate &amp; not be one country but two parties. How ca…,14,0,Benioff
Thu Jan 06 18:15:15 +0000 2022,RT @Benioff: Never Again. https://t.co/uMmvqpRQ8c,79,0,Benioff
Thu Jan 06 09:13:40 +0000 2022,RT @Benioff: Our public schools must remain open. With available testing &amp; effective masks there is no reason why schools should ever close…,174,0,Benioff
Thu Jan 06 09:13:25 +0000 2022,Never Again. https://t.co/uMmvqpRQ8c,79,695,Benioff
Thu Jan 06 09:01:46 +0000 2022,"RT @SadhguruJV: Distressingly familiar. A 35% loss in topsoil is a calamity that can't be ignored. With regenerative measures, we can rever…",1177,0,Benioff
Thu Jan 06 06:04:19 +0000 2022,Until we realize we are not separate from the other we will continue to bifurcate &amp; not be one country but two parties. How can we achieve country above party as @KarlRove asks? I pray that the memories of those lost on January 6th are for a blessing. ❤️🇺🇸 https://t.co/pu5wOqdaGy,14,136,Benioff
Thu Jan 06 03:51:24 +0000 2022,"RT @jblefevre60: 💥 17 tech of next decade! 

1 AI
2 IoT
3 blockchain
4 3D
5 5G
6 Metaverse 
7 WiFi power
8 robotics
9 VR/AR
10 drones
11 qu…",408,0,Benioff
Thu Jan 06 03:51:00 +0000 2022,"RT @ValaAfshar: Top 10 technology trends that will shape the coming decade:

1 automation RPA
2 5G and IoT
3 cloud and edge compute
4 quant…",233,0,Benioff
Thu Jan 06 03:47:45 +0000 2022,RT @engadget: Mercedes EQXX concept EV can go 620 miles on a charge #CES2022 https://t.co/BFBQakg1Pq,138,0,Benioff
Thu Jan 06 03:39:46 +0000 2022,RT @klwtts: BMW HAS A COLOR CHANGING CAR IN LAS VEGAS RIGHT NOW! #CES2022 https://t.co/vgKMDiRedE,5992,0,Benioff
Thu Jan 06 03:39:02 +0000 2022,RT @engadget: Sony at #CES2022 in under 9 minutes https://t.co/h9UeHbHNEa,125,0,Benioff
Thu Jan 06 02:01:57 +0000 2022,RT @rwang0: MyPOV: @Benioff would approve. The maker of these #trailblazer stuffed animals gave Astro to a taxi driver @SalesforceTrvia @sa…,9,0,Benioff
Wed Jan 05 23:31:03 +0000 2022,Our public schools must remain open. With available testing &amp; effective masks there is no reason why schools should ever close. I am a graduate of public K-12 education &amp; strongly believe nothing is more important than consistent in person learning for social emotional growth. 🏫,174,1827,Benioff
Wed Jan 05 22:15:25 +0000 2022,"RT @michaelmina_lab: This thread by is going around
The numbers are not correct

We do not care about sensitivity against PCR -&gt; We care ab…",131,0,Benioff
